school_id,school_name,grade,state,head_branch,oper_state,jibun_addr,doro_addr,lat,lng,sido_name,gugun_name,dong
B000001838,서울휘경초등학교,초등학교,공립,본교,운영,서울특별시 동대문구 휘경동 302-2,서울특별시 동대문구 망우로6길 48,37.5857358,127.0582128,서울특별시,동대문구,휘경동
B000001839,서울동답초등학교,초등학교,공립,본교,운영,서울특별시 동대문구 답십리동 2-24,서울특별시 동대문구 답십리로60길 12,37.571503,127.0640336,서울특별시,동대문구,답십리동
B000001840,서울답십리초등학교,초등학교,공립,본교,운영,서울특별시 동대문구 답십리동 274,서울특별시 동대문구 전농로3길 23,37.5688043,127.0554286,서울특별시,동대문구,답십리동
B000001841,서울신답초등학교,초등학교,공립,본교,운영,서울특별시 동대문구 답십리동 463-13,서울특별시 동대문구 천호대로 177,37.5727054,127.0429615,서울특별시,동대문구,답십리동
B000001842,서울용두초등학교,초등학교,공립,본교,운영,서울특별시 동대문구 용두동 237-1,서울특별시 동대문구 천호대로13길 43,37.5764147,127.0283873,서울특별시,동대문구,용두동
B000001843,서울이문초등학교,초등학교,공립,본교,운영,서울특별시 동대문구 이문동 358-34,서울특별시 동대문구 신이문로 16,37.6018948,127.0648841,서울특별시,동대문구,이문동
B000001844,서울군자초등학교,초등학교,공립,본교,운영,서울특별시 동대문구 장안동 239-2,서울특별시 동대문구 한천로6길 21,37.5641238,127.0605231,서울특별시,동대문구,장안동
B000001845,서울장평초등학교,초등학교,공립,본교,운영,서울특별시 동대문구 장안동 323,서울특별시 동대문구 답십리로69길 27,37.5739948,127.0738934,서울특별시,동대문구,장안동
B000001846,서울안평초등학교,초등학교,공립,본교,운영,서울특별시 동대문구 장안동 353-1,서울특별시 동대문구 장한로14길 61,37.5659698,127.0720337,서울특별시,동대문구,장안동
B000001847,서울배봉초등학교,초등학교,공립,본교,운영,서울특별시 동대문구 전농동 3-111,서울특별시 동대문구 사가정로 193,37.5800825,127.0668713,서울특별시,동대문구,전농동
B000001848,서울전동초등학교,초등학교,공립,본교,운영,서울특별시 동대문구 전농동 45-41,서울특별시 동대문구 전농로16길 61,37.5790838,127.0608069,서울특별시,동대문구,전농동
B000001849,서울전곡초등학교,초등학교,공립,본교,운영,서울특별시 동대문구 전농동 188,서울특별시 동대문구 전농로 172,37.5807044,127.0560126,서울특별시,동대문구,전농동
B000001850,서울전농초등학교,초등학교,공립,본교,운영,서울특별시 동대문구 전농동 298,서울특별시 동대문구 사가정로 66,37.5747298,127.0543327,서울특별시,동대문구,전농동
B000001851,서울홍파초등학교,초등학교,공립,본교,운영,서울특별시 동대문구 제기동 678,서울특별시 동대문구 고산자로 518,37.5862225,127.0395183,서울특별시,동대문구,제기동
B000001852,서울종암초등학교,초등학교,공립,본교,운영,서울특별시 동대문구 제기동 1157,서울특별시 동대문구 무학로44길 25,37.5823063,127.0318584,서울특별시,동대문구,제기동
B000001853,서울홍릉초등학교,초등학교,공립,본교,운영,서울특별시 동대문구 청량리동 206-44,서울특별시 동대문구 회기로 90,37.5906874,127.0477047,서울특별시,동대문구,청량리동
B000001854,서울청량초등학교,초등학교,공립,본교,운영,서울특별시 동대문구 회기동 1-1,서울특별시 동대문구 회기로25길 31,37.5923092,127.055908,서울특별시,동대문구,회기동
B000001855,서울휘봉초등학교,초등학교,공립,본교,운영,서울특별시 동대문구 휘경동 49-27,서울특별시 동대문구 장안벚꽃로 309,37.5856776,127.0700419,서울특별시,동대문구,휘경동
B000001856,경희초등학교,초등학교,사립,본교,운영,서울특별시 동대문구 회기동 산4-50,서울특별시 동대문구 경희대로 26,37.5939495,127.0548902,서울특별시,동대문구,회기동
B000001857,서울삼육초등학교,초등학교,사립,본교,운영,서울특별시 동대문구 회기동 102-48,서울특별시 동대문구 회기로10길 63,37.5887703,127.0471736,서울특별시,동대문구,회기동
B000001858,은석초등학교,초등학교,사립,본교,운영,서울특별시 동대문구 장안동 328,서울특별시 동대문구 장안벚꽃로 205,37.5785598,127.0757635,서울특별시,동대문구,장안동
B000001859,서울면목초등학교,초등학교,공립,본교,운영,서울특별시 중랑구 면목동 221,서울특별시 중랑구 면목로 434,37.5906972,127.0872887,서울특별시,중랑구,면목동
B000001860,서울면남초등학교,초등학교,공립,본교,운영,서울특별시 중랑구 면목동 583-15,서울특별시 중랑구 면목로30나길 38,37.5772613,127.087667,서울특별시,중랑구,면목동
B000001861,서울동원초등학교,초등학교,공립,본교,운영,서울특별시 중랑구 망우동 216,서울특별시 중랑구 송림길 114,37.6045765,127.1044914,서울특별시,중랑구,망우동
B000001862,서울면북초등학교,초등학교,공립,본교,운영,서울특별시 중랑구 망우동 119,서울특별시 중랑구 용마공원로5길 32,37.5944178,127.1035487,서울특별시,중랑구,망우동
B000001863,서울망우초등학교,초등학교,공립,본교,운영,서울특별시 중랑구 망우동 153-1,서울특별시 중랑구 망우로72길 49,37.5987387,127.1038401,서울특별시,중랑구,망우동
